rank,symbol,score,setup_quality,stage,rs_rating,vcp_qualified,breakout_triggered,entry_price,stop_loss,risk_pct,in_watchlist,fundamental_pass,fundamental_details,news_score
1,ASIANPAINT,0,FAIL,1,0,False,False,,,,False,False,{},
2,AXISBANK,0,FAIL,1,0,False,False,,,,False,False,{},
3,BAJFINANCE,0,FAIL,4,0,False,False,,,,False,False,{},
4,CDSL,0,FAIL,1,0,False,False,,,,False,False,{},
5,DIXON,0,FAIL,4,0,False,False,,,,False,False,{},
6,DMART,0,FAIL,1,0,False,False,,,,False,False,{},
7,HCLTECH,0,FAIL,1,0,False,False,,,,False,False,{},
8,HDFCBANK,0,FAIL,4,0,False,False,,,,False,False,{},
9,ICICIBANK,0,FAIL,1,0,False,False,,,,False,False,{},
10,INFY,0,FAIL,4,0,False,False,,,,False,False,{},
11,LTIM,0,FAIL,4,0,False,False,,,,False,False,{},
12,MARUTI,0,FAIL,1,0,False,False,,,,False,False,{},
13,NESTLEIND,0,FAIL,3,0,False,False,,,,False,False,{},
14,RELIANCE,0,FAIL,4,0,False,False,,,,False,False,{},
15,SBIN,0,FAIL,3,0,False,False,,,,False,False,{},
16,SUNPHARMA,0,FAIL,1,0,False,False,,,,False,False,{},
17,TATAELXSI,0,FAIL,4,0,False,False,,,,False,False,{},
18,TCS,0,FAIL,4,0,False,False,,,,False,False,{},
19,WIPRO,0,FAIL,4,0,False,False,,,,False,False,{},
